sample,richness,shannon,pielou,simpson
ERR3936122.ERS4336425,31,0.858243152524227,0.249926135835122,0.292406
SRR12646961.SRS7370706,82,2.87841222668919,0.653187113854857,0.864546
SRR4384595.SRS1734560,56,1.39059037180745,0.345458106184378,0.450286
SRR5834949.SRS2361041,21,1.26849090550604,0.416646922942231,0.55976
SRR10447718.SRS5650327,71,3.22637748390161,0.756889463193986,0.936618
ERR329647.ERS341002,99,3.02598448090781,0.658521339942675,0.888188
SRR6452856.SRS2817023,41,2.02339669162744,0.544865335930627,0.730432
ERR4574911.ERS5054597,79,2.99221069241958,0.684802930129983,0.881098
ERR4575162.ERS5054848,47,1.20169957161578,0.312117792856055,0.382236
SRR5869488.SRS2385524,91,2.86348684614562,0.634798499489671,0.829072
ERR3319721.ERS3406875,75,1.76398801592898,0.408568123302639,0.608348
SRR12706236.SRS7422008,119,2.73716489609229,0.572733661316255,0.841464
SRR7253916.SRS3370658,267,4.49773729577515,0.805000380466859,0.965344
ERR443292.ERS414285,69,1.91654748620104,0.452645082054528,0.694758
ERR4572660.ERS5054141,24,1.05216312674089,0.331071524558064,0.508916
ERR1539953.ERS1259578,173,4.10742264045024,0.797048365133417,0.964206
SRR9514129.SRS5014807,38,0.857001232337458,0.235596132904223,0.276838
SRR4384727.SRS1734691,92,3.38090816277885,0.747692667441178,0.940198
ERR4769103.ERS5251326,58,2.91252037361815,0.717291282269767,0.913258
SRR11242637.SRS6263668,121,2.64443337364453,0.551407186886532,0.82321
ERR2164794.ERS1967788,126,3.7228908602781,0.769783675125919,0.95458
SRR9091933.SRS4790383,159,3.66083203087425,0.722213694484653,0.942714
ERR3934970.ERS4335461,15,1.09202811412374,0.403252537076039,0.574396
SRR7473207.SRS3503404,433,5.45475576585457,0.898532601843993,0.98862
SRR7974877.SRS3886052,184,3.4672037433024,0.664860298277594,0.906164
ERR4573043.ERS5054524,44,1.34083792876432,0.354326304566289,0.427856
ERR3938087.ERS4338390,89,3.46668374465926,0.77232447877397,0.944842
ERR4346240.ERS4824574,38,2.37447840372693,0.652762106370434,0.85102
SRR12647384.SRS7371261,152,3.86918726681815,0.770159093307096,0.957104
ERR3319235.ERS3406389,127,3.29144184968728,0.679462165878803,0.90221
ERR3935313.ERS4335616,38,2.17441381117776,0.597762833840702,0.810674
ERR3935408.ERS4335711,36,0.680616711536314,0.189929709658391,0.20702
ERR4573669.ERS5054263,13,0.320495946119375,0.124952153611548,0.108204
SRR7632339.SRS3617351,21,0.716952047159054,0.235489165156281,0.280474
ERR2703334.ERS2478373,133,3.76078196749161,0.769021161656637,0.953408
ERR3938245.ERS4338548,54,2.57699323528828,0.646027460929018,0.855732
ERR1893325.ERS1620578,149,3.86048621342218,0.771488336882298,0.957208
SRR10678345.SRS5814924,8,0.106987275227041,0.0514500038027583,0.031668
SRR9585981.SRS5014963,129,3.37316745732609,0.694094170033946,0.91723
ERR443672.ERS414665,100,3.54984631739795,0.770839333625254,0.946934
SRR10256812.SRS5500228,44,1.69497335887499,0.447909201928647,0.672752
ERR2107235.ERS1889305,269,5.01957595145815,0.897200161166379,0.987504
SRR5457996.SRS2132391,45,1.75839555430037,0.461925783813439,0.61789
SRR9064977.SRS4766065,59,2.14559435872137,0.526198566717806,0.805206
ERR443273.ERS414266,212,4.12333723920108,0.769769593499836,0.96078
ERR1593284.ERS1303528,94,3.57235890673147,0.786292564742318,0.932164
ERR3935383.ERS4335686,23,1.96340543511386,0.626186910229091,0.82801
SRR10447687.SRS5650358,48,2.53343052159623,0.654430114700265,0.845554
ERR3935478.ERS4335781,107,3.38468472335553,0.724333127375355,0.928718
SRR7096389.SRS3245163,77,3.04621309490276,0.701277520299888,0.914732
SRR7992789.SRS3897658,140,3.55251347382774,0.718893268678054,0.931266
ERR1588701.ERS1294238,129,3.9035453710078,0.803229640614188,0.961548
SRR8792142.SRS2390784,69,3.01870845833102,0.712950525702034,0.91529
SRR6974088.SRS3153670,73,2.14921291151754,0.500928383311386,0.759338
SRR7253885.SRS3370689,85,2.48459716521494,0.559260005291923,0.777784
ERR329671.ERS341026,64,2.08617518778874,0.501619099641402,0.711122
ERR4700714.ERS5226423,44,1.95928609751052,0.517755791081173,0.708508
SRR3414772.SRS1407172,55,1.10448980748357,0.275617163941785,0.348734
ERR1476077.ERS1225454,102,3.20389942521337,0.692739082921924,0.918
SRR7975166.SRS3886386,149,3.58800080835642,0.717034234378839,0.923836
ERR329707.ERS341062,83,1.98904306860749,0.450127815223302,0.649096
ERR329599.ERS340954,21,1.22092653797965,0.401023990774925,0.632266
SRR5495884.SRS2160097,300,4.72079237561048,0.827659960138124,0.971438
