sample,richness,shannon,pielou,simpson
SRR8799050.SRS4549180,227,3.5564183829825,0.655567032234817,0.850072
SRR11186142.SRS6219645,26,0.638250674636405,0.195896796546118,0.246608
ERR1546827.ERS1266026,72,2.86914074631541,0.670882567511613,0.89565
SRR6442416.SRS2809066,391,5.23443629041616,0.876979854987065,0.985834
SRR6442604.SRS2809054,130,3.83383237675075,0.787633331776813,0.957428
SRR8799073.SRS4549158,330,4.98654147552442,0.859883049409272,0.981234
ERR2015227.ERS1798608,134,3.42157706181359,0.698589010985595,0.89584
ERR2015106.ERS1798487,88,2.84593816202504,0.635631912440054,0.857102
SRR8241532.SRS4075790,156,3.76728895078417,0.746019083588893,0.94624
ERR1546506.ERS1265978,58,2.61038672564705,0.642882246805814,0.857146
SRR5312024.SRS2022578,275,4.85921092700727,0.865125326012658,0.983396
ERR1546572.ERS1266044,90,2.9611030087134,0.658050723397833,0.89907
SRR2071013.SRS966114,62,1.73533952568561,0.42047080705046,0.571822
SRR12929753.SRS7613120,367,5.35222312871608,0.906332798299107,0.990514
SRR8475653.SRS4280933,485,5.41898316607522,0.876269841112078,0.98396
SRR6442627.SRS2809020,40,2.00999926802695,0.544880713243516,0.735728
SRR5311053.SRS2023012,296,4.77324894856636,0.838830830790348,0.97708
ERR2790996.ERS2715018,69,2.09105822633521,0.493860563985532,0.697236
SRR7553741.SRS3572587,104,3.65201040609584,0.786327095501587,0.94798
SRR7553449.SRS3572383,78,2.88793697158474,0.662871237548163,0.874996
SRR8241555.SRS4075767,189,4.01533319602958,0.766029566954194,0.956774
SRR8556255.SRS4348832,472,5.64927302872999,0.917539761294592,0.992476
SRR7553601.SRS3572232,92,2.98633577813564,0.660432421208988,0.873076
SRR5311991.SRS2022579,196,4.13475819972205,0.783377866278647,0.960182
SRR7553570.SRS3572262,84,2.60380440804039,0.587657880307785,0.763814
ERR1546531.ERS1266003,152,4.10234639804051,0.816569259762067,0.96779
ERR1546498.ERS1265970,75,2.90836953147229,0.673625370815471,0.880786
SRR6182817.SRS2602070,441,5.65212274489096,0.928244554032159,0.994262
SRR6219146.SRS2631232,141,3.45487961013518,0.698130377441119,0.918064
SRR12375422.SRS7135015,194,4.59138634017809,0.871585035424431,0.983444
