sample,richness,shannon,pielou,simpson
SRR11730099.SRS6610947,180,4.33757975339731,0.835281300797586,0.97705
SRR1448323.SRS644821,235,4.34719461389872,0.796249935574127,0.966238
SRR2953912.SRS1174375,203,3.90259938902653,0.734509334744509,0.925716
SRR5200674.SRS1938174,231,4.62661405554195,0.850102711998262,0.980612
SRR7585657.SRS3590091,380,5.21009413270092,0.877094937341215,0.986032
SRR7550302.SRS3569637,394,5.14219253810594,0.860423461765905,0.980926
SRR1184153.SRS730300,51,2.99483911192919,0.761691741109611,0.915872
SRR7585820.SRS3590381,335,4.71879999098259,0.811608883762255,0.959736
SRR5448044.SRS2124123,235,4.45403853017104,0.815819904026039,0.970054
SRR7649855.SRS3631828,284,4.71845711700212,0.83527679859592,0.979478
SRR8794971.SRS4545666,71,2.86213344630682,0.671439922505604,0.898058
SRR5886428.SRS2398744,390,5.28767748645703,0.886280159987096,0.984666
ERR3711679.ERS4123083,346,4.78892158983391,0.819117718338995,0.972262
SRR5804110.SRS2336185,312,4.92379233184449,0.857354971053488,0.982088
SRR630523.SRS379257,311,5.06354954571637,0.88218331622593,0.987374
SRR7253250.SRS3370471,6,0.190734429967846,0.106450912214249,0.0646100000000001
SRR6396238.SRS2773489,97,2.87837446740922,0.629192637728315,0.880244
ERR3245433.ERS3334743,462,5.67525116802446,0.924976146250794,0.993584
ERR4013111.ERS4415563,411,5.57511359375233,0.926315069827987,0.99383
ERR313278.ERS324027,347,5.20187066144301,0.889311306371034,0.987436
SRR7505911.SRS3535307,246,4.03312525179636,0.732585353937876,0.896514
SRR5886397.SRS2398775,355,5.31099277229296,0.904442479306502,0.99001
ERR3711422.ERS4122883,359,5.21037991626589,0.8856186304631,0.98811
ERR3771101.ERS4187229,356,5.27907456671606,0.898576478356272,0.988798
ERR1653550.ERS1360157,385,5.24413611657439,0.880887244499266,0.98634
ERR1653645.ERS1360252,366,5.25591272320355,0.890435239041835,0.987726
SRR6930434.SRS3116112,81,2.46687063875926,0.561360605603171,0.84937
ERR3771171.ERS4187299,411,5.52741372098956,0.918389650869969,0.99307
ERR2391745.ERS2281227,38,0.360126867626983,0.0990016048593255,0.0936120000000001
ERR1950417.ERS1696002,374,5.37755753384252,0.907718659985849,0.991484
SRR7585843.SRS3590358,206,3.94849819464972,0.741101720377777,0.943524
SRR1133174.SRS538830,65,3.13796119590887,0.751717795456797,0.925938
ERR1942370.ERS1672890,250,4.65412199301505,0.842914957155396,0.978134
ERR1950487.ERS1696072,344,5.05306713816607,0.865156165125612,0.982048
ERR1544665.ERS1262281,155,3.05606566596637,0.605950439457135,0.84622
SRR10598030.SRS5772379,62,2.65142519395151,0.642437329775134,0.845396
ERR3418516.ERS3564571,321,4.64004737931085,0.803966856859213,0.96534
SRR5873711.SRS2389127,6,0.0798131082027366,0.0445445438260318,0.0238
ERR688343.ERS612891,725,6.41112754544838,0.973422479920141,0.997788
SRR7585638.SRS3590109,301,4.8213669279472,0.844800030889074,0.980398
ERR1056314.ERS905303,431,5.40726777734257,0.89138994838618,0.986474
ERR2016826.ERS1800255,397,5.41603598365511,0.905095864930088,0.987582
SRR2953993.SRS1174293,233,4.2661232866336,0.782625791943,0.96253
SRR1555744.SRS687928,221,4.06479165761055,0.752995395353254,0.949336
SRR5879038.SRS2393461,217,4.34241087176804,0.80715496716872,0.969104
ERR1653604.ERS1360211,327,5.00382627030879,0.864224644490666,0.98354
ERR3771093.ERS4187221,304,4.92094931298178,0.860753099337156,0.983954
ERR3771130.ERS4187258,303,5.00635435536703,0.876196792146062,0.984934
ERR3309089.ERS3397186,353,4.9979719674461,0.851955881961931,0.97919
ERR3711602.ERS4123023,322,4.64441696030624,0.804290501812185,0.962944
SRR5434148.SRS2112908,103,2.49282523918026,0.537857822002331,0.758576
SRR5886421.SRS2398751,313,5.05263600909181,0.879299920582316,0.987916
SRR5880081.SRS2392468,301,4.78122903005695,0.837767067440274,0.976082
SRR6172342.SRS2593600,134,2.29554826092063,0.468685860436603,0.659994
SRR12246442.SRS7052869,403,5.37389515337062,0.8958079649415,0.988734
SRR5137813.SRS1890340,182,3.9853651179949,0.76582628686697,0.938178
SRR6396231.SRS2773496,156,4.058664673329,0.803718891687685,0.965428
SRR11552667.SRS6486813,415,5.37346647689062,0.891376610894379,0.988476
ERR330035.ERS341874,294,4.98928372902868,0.877841771078881,0.987336
SRR7585456.SRS3590290,376,5.34030543815277,0.900619808390259,0.990798
SRR5886390.SRS2398781,287,5.06526801730331,0.895005554253419,0.989024
DRR172383.DRS115178,223,4.46410747035282,0.825590097565434,0.972642
SRR1803585.SRS845658,54,2.06962571163962,0.518835294270529,0.695352
SRR5448060.SRS2124107,113,4.12762763879135,0.873130743040169,0.974822
ERR3642754.ERS3168440,402,5.52451577288894,0.921297409075311,0.993424
ERR4994355.ERS5470798,346,5.02173116736036,0.858938468454376,0.98097
SRR5886444.SRS2398728,342,5.09430309420436,0.873087975561134,0.985716
SRR9690789.SRS5101755,158,3.91902135840172,0.774113144115836,0.954078
ERR3770992.ERS4187120,342,5.20452905983965,0.891979070851534,0.98938
ERR2003703.ERS1782796,67,2.08539714299969,0.495968987930859,0.72941
ERR3839941.ERS4267188,395,5.38637397129554,0.900899295135574,0.990188
ERR2684524.ERS2598800,228,4.84759969128611,0.892851555707577,0.98594
ERR1942869.ERS1673381,288,4.75534139840325,0.839727103002684,0.977142
SRR7585479.SRS3590268,385,5.3231638026275,0.894161972511466,0.989976
SRR13275000.SRS7900441,68,3.11250123494318,0.737645586267102,0.925256
SRR7585631.SRS3590116,260,4.93832341253289,0.888078789655688,0.987772
SRR7585832.SRS3590399,344,5.09755378197326,0.872772904247251,0.986858
SRR8359684.SRS4178025,176,4.5014384828771,0.870602923671537,0.979698
ERR3711397.ERS4122863,545,5.94950535872543,0.944248154534098,0.995674
SRR2954037.SRS1174250,126,3.39159524810772,0.701281545071385,0.930474
SRR1740570.SRS807793,14,1.40809411391185,0.53355950176237,0.670634
SRR8794913.SRS4545724,79,2.65401293461082,0.607402359342117,0.867562
ERR1653562.ERS1360169,271,4.27046312125401,0.762294277896701,0.917222
ERR1653657.ERS1360264,434,5.561329506882,0.915739951461725,0.992532
DRR060158.DRS037343,379,5.41779413643741,0.912465027463728,0.99163
SRR11730107.SRS6610948,279,4.42946197563174,0.786591260859856,0.953792
ERR1950429.ERS1696014,328,5.2335655652854,0.903427113948246,0.990868
SRR11552660.SRS6486821,269,4.6698855376977,0.83469641610539,0.97432
ERR1942828.ERS1673340,290,4.71897314715284,0.832287875399011,0.97336
SRR1722823.SRS796616,154,3.74469468589298,0.743444495407516,0.947542
SRR6930448.SRS3116098,465,5.6825349302977,0.925187288037084,0.99407
ERR1544677.ERS1262293,341,5.07396018475778,0.870038140261225,0.986174
ERR3418554.ERS3564609,432,5.53830557505236,0.912642907870749,0.99123
ERR3711484.ERS4122931,456,5.49360110096162,0.897281756284718,0.990198
SRR9593151.SRS5021494,377,5.34559096280517,0.90110755605919,0.991238
ERR3711521.ERS4122963,388,5.34449659242081,0.896576380647659,0.989964
SRR2856994.SRS1139896,347,4.57385335858454,0.781945528869418,0.94058
SRR901992.SRS445620,313,5.01088800423775,0.8720346006015,0.981888
ERR3770975.ERS4187103,371,5.44234772210516,0.919905653071384,0.992884
ERR1653521.ERS1360128,309,4.78086694977967,0.833870987070658,0.975842
ERR4801897.ERS5290545,300,4.89574396392391,0.858332866948787,0.980328
DRR065529.DRS070977,386,5.28910638519337,0.888054199114008,0.98862
SRR2057814.SRS957422,200,4.33015527802487,0.817269895035762,0.965852
ERR3711614.ERS4123032,394,5.18535978497057,0.867646472516072,0.983132
SRR5880118.SRS2392504,228,4.18653489396351,0.771093826047271,0.958422
SRR10835230.SRS5947516,28,2.04864490191165,0.614801671282755,0.80979
DRR065515.DRS070963,329,4.83680930626969,0.834499847009113,0.974378
SRR1722784.SRS796591,164,3.63025104417572,0.711832573568897,0.91455
SRR10552106.SRS5734648,23,1.21243404249667,0.386680363286012,0.61557
ERR3245428.ERS3334738,365,5.19855399224179,0.881126175709678,0.986798
SRR1351554.SRS622672,117,3.55941001734518,0.7474338539666,0.938774
SRR6986704.SRS3160220,77,3.17959434090557,0.731983602421284,0.930426
SRR4266026.SRS1703873,350,4.98419418163037,0.850845178698503,0.980718
SRR6172356.SRS2593585,153,2.69290044731655,0.535321276079112,0.722486
ERR3711417.ERS4122879,455,5.57827404284037,0.9114383927761,0.99213
SRR1184145.SRS730296,33,1.45168815873606,0.415182330716082,0.63127
SRR10552075.SRS5734679,18,1.18005187509189,0.408269929938294,0.605528
SRR8359735.SRS4177974,89,3.27802014963743,0.730293095636314,0.914814
SRR5740174.SRS2305524,318,4.88460954500165,0.847720580833285,0.976086
SRR9593104.SRS5021517,403,5.34373132367524,0.890779768796418,0.988598
ERR2003678.ERS1782771,59,2.95299465042645,0.724210308562584,0.900216
DRR065520.DRS070968,301,4.64691718591234,0.814232942828346,0.964638
SRR7585615.SRS3590130,348,5.12557082177198,0.875836206878731,0.987212
ERR3711701.ERS4123103,377,5.29961428956424,0.893357257177712,0.989166
ERR1942365.ERS1672885,216,4.38745621435564,0.816228645586731,0.970582
SRR5804095.SRS2336200,293,4.72586264122604,0.831992787283243,0.978214
SRR6930340.SRS3116063,65,2.05134401769277,0.491412004939363,0.722238
SRR7253268.SRS3370439,68,3.02608547042314,0.717165527796291,0.912358
SRR9593132.SRS5021504,317,5.10864654133221,0.887086938086934,0.988046
SRR8359668.SRS4178041,8,0.456021695411701,0.219300079502746,0.214174
SRR7585584.SRS3590161,339,5.17348288124294,0.887999105027326,0.988668
ERR1544691.ERS1262307,338,5.06949299226479,0.870591282166818,0.984884
SRR1646872.SRS738733,43,2.71443180846869,0.721693003555634,0.890846
SRR7253296.SRS3370422,16,1.51577856435515,0.546701554470241,0.718938
SRR8639561.SRS4415492,146,3.36336316120637,0.674885362451309,0.900442
ERR3711504.ERS4122948,459,5.54884899403188,0.905335868341185,0.991684
SRR5886355.SRS2398818,369,5.03472008945388,0.851783675307129,0.976478
SRR5200662.SRS1938174,292,4.83975709039773,0.852557158364679,0.980866
SRR6930336.SRS3116093,381,5.17296542732586,0.870459374579774,0.981916
SRR5879093.SRS2393406,203,4.49355237464388,0.845732763301278,0.979936
SRR10552218.SRS5734536,110,2.95284874496847,0.628201484779668,0.8722
ERR1653669.ERS1360276,469,5.65146066438732,0.918846636199683,0.99286
DRR172378.DRS115173,234,4.52796745445423,0.830009335602114,0.97129
ERR1942324.ERS1672844,257,4.57369616695361,0.824226609435644,0.970222
SRR6145529.SRS2571000,226,4.72834044598515,0.872301432722034,0.984048
SRR7585542.SRS3590205,371,5.22464947030659,0.88310869287719,0.989142
ERR3711569.ERS4122998,319,4.724712351303,0.819523978835801,0.970762
SRR5137808.SRS1890336,192,3.92231687039403,0.746042857453095,0.946406
SRR6930234.SRS3116124,103,1.97573751128459,0.426289760696295,0.613672
SRR7649871.SRS3631812,229,4.49155205133161,0.826606890892404,0.972624
SRR11730147.SRS6610947,230,4.33498353389732,0.797153422677041,0.968536
SRR7535355.SRS3557655,333,5.34880167944019,0.920914335119592,0.992758
SRR6145498.SRS2571031,180,4.02928658727883,0.77591374297441,0.957618
SRR7585727.SRS3590021,246,4.22052741665345,0.76662547734079,0.954382
SRR5877373.SRS2392466,301,4.79950800395798,0.840969909693723,0.977972
SRR9067690.SRS4768712,80,2.24455152461225,0.512217681848776,0.749146
SRR6930422.SRS3116114,440,5.45481806865465,0.896175448146044,0.988688
