rank_by_mean,player_id,biome,mean_rating,sd_rating
1,90_13;96_938;97_1091;98_1301;99_1645,airborne.1,1060.1027615145877,1.6918994596474137
2,90_273;96_1085;97_1269;98_1524;99_1942,airborne.1,1054.7472632354984,1.238669875798627
3,90_178;96_10414;97_12587;98_15495;99_20497,airborne.1,1039.8825927536473,1.0200310509374122
4,90_34;96_149;97_160;98_434;99_535,airborne.1,1039.5316463754684,1.0955127297822096
5,90_46;96_146;97_157;98_801;99_1025,airborne.1,1024.6262079249425,0.875972363501855
6,90_45;96_369;97_416;98_475;99_581,airborne.1,1023.814635364338,0.8671600573196208
7,90_80;96_1834;97_2203;98_2702;99_3525,airborne.1,1022.7323716551508,1.15578596793825
8,90_155;96_519;97_597;98_686;99_867,airborne.1,1022.1663245959293,0.8219784111671995
9,90_273;96_1085;97_1269;98_1524;99_8086,airborne.1,1021.1979640616149,0.8780288541178426
10,90_3;96_45863;97_58855;98_78157;99_115619,airborne.1,1020.7270537916223,1.1117741188246848
11,90_23;96_224;97_245;98_274;99_321,airborne.1,1019.7126238940559,1.8325342777059963
12,90_19;96_3607;97_4430;98_5679;99_7766,airborne.1,1018.793186769734,0.9352880659511927
13,90_10;96_1541;97_1839;98_2257;99_8603,airborne.1,1018.7129730468158,1.212500274349385
14,90_10;96_2233;97_2704;98_3357;99_4468,airborne.1,1017.7328268767346,0.7549070349859102
15,90_107;96_10256;97_12380;98_15217;99_20118,airborne.1,1017.5129637518161,0.8395980544279718
16,90_17667;96_68968;97_89625;98_121921;99_187396,airborne.1,1017.4146714095706,0.8450099243019765
17,90_358;96_1615;97_1932;98_2375;99_3092,airborne.1,1015.7456551380272,0.7729573262838577
18,90_9;96_453;97_519;98_597;99_746,airborne.1,1014.7587673591179,0.802842981904436
19,90_80;96_193;97_1308;98_3777;99_7380,airborne.1,1014.5776517313049,0.8070351965089484
20,90_13;96_764;97_19471;98_24315;99_32871,airborne.1,1014.29152839837,0.6717318086954925
21,90_2135;96_9311;97_11198;98_13764;99_18210,airborne.1,1014.2034567689313,0.6873097182039807
22,90_178;96_586;97_685;98_797;99_1021,airborne.1,1013.8302997322465,0.8013333135237023
23,90_476;96_2292;97_2782;98_3453;99_4597,airborne.1,1013.2042923352724,0.6267454201117519
24,90_19;96_123;97_2347;98_2896;99_3802,airborne.1,1013.1856147202141,0.6804139123265489
25,90_11359;96_49472;97_63677;98_84858;99_126410,airborne.1,1012.9569718153505,0.7011148080910476
