rank_by_mean,player_id,biome,mean_rating,sd_rating
1,90_10;96_1164;97_1368;98_1659;99_4082,animal.6,1065.261735635923,5.124020625024202
2,90_80;96_246;97_268;98_298;99_650,animal.6,1047.5543322811664,5.540809330728151
3,90_23;96_36;97_37;98_40;99_42,animal.6,1041.8218398378199,6.032853426903293
4,90_80;96_2489;97_3039;98_3817;99_5116,animal.6,1039.6251018522482,5.789616233371367
5,90_9;96_13;97_13;98_15;99_16,animal.6,1035.3479443864123,3.7562186884388615
6,90_13;96_1400;97_1671;98_2034;99_2628,animal.6,1032.0318912546375,3.312320138505099
7,90_10;96_1541;97_1839;98_2257;99_8603,animal.6,1030.2212648147984,3.0642118145532744
8,90_303;96_1205;97_1425;98_1735;99_2225,animal.6,1026.6973343583272,3.413111860595634
9,90_14321;96_62471;97_80965;98_109590;99_166935,animal.6,1025.5915411643257,4.664766806687855
10,90_4;96_4;97_4;98_523;99_5805,animal.6,1024.9423393319707,2.598479030593243
11,90_15360;96_410;97_465;98_535;99_663,animal.6,1023.7621694682945,3.349313193658819
12,90_44;96_87;97_92;98_2367;99_3080,animal.6,1023.7566725407496,3.1419165102171043
13,90_15355;96_3957;97_4868;98_6233;99_8531,animal.6,1023.325697441884,3.2558760288820796
14,90_80;96_246;97_268;98_71100;99_104394,animal.6,1020.8680532693731,3.3971217454841587
15,90_27;96_12833;97_15576;98_19285;99_119283,animal.6,1018.664773944401,3.5916645417062667
16,90_27;96_1072;97_1252;98_1504;99_1916,animal.6,1017.4634467247978,3.2519030083680303
17,90_18;96_30;97_31;98_34;99_36,animal.6,1017.3420763056672,3.857494498287425
18,90_150;96_2076;97_2501;98_3094;99_4091,animal.6,1016.9197490217229,2.40504071565188
19,90_156;96_4149;97_5082;98_6477;99_8859,animal.6,1016.4783809722476,3.379243774907076
20,90_80;96_2489;97_3039;98_3817;99_111628,animal.6,1015.9593633401271,3.6679114370795523
21,90_295;96_3058;97_3756;98_4767;99_6460,animal.6,1014.9633169051074,2.034250381353991
22,90_15963;96_304;97_338;98_380;99_460,animal.6,1014.4451422329718,2.1229781526501745
23,90_39;96_2354;97_2866;98_3569;99_4763,animal.6,1014.1653623151518,2.890094023091134
24,90_4;96_100;97_107;98_116;99_131,animal.6,1013.8186012184359,2.9891169573327607
25,90_124;96_2643;97_3240;98_4073;99_5454,animal.6,1013.767098260052,2.205298095206102
26,90_37;96_1715;97_2054;98_2523;99_3290,animal.6,1013.4364386345334,1.9993126328178206
27,90_4;96_4;97_490;98_1706;99_2187,animal.6,1012.5429523450368,2.3261228117041806
28,90_172;96_3849;97_6223;98_7765;99_10420,animal.6,1012.21987731971,2.0171292031193215
29,90_10;96_1541;97_1839;98_2257;99_2921,animal.6,1011.998434866797,2.2213564120040195
30,90_15355;96_5345;97_6453;98_8029;99_10771,animal.6,1011.8443899153584,2.420519332815163
31,90_4;96_4;97_4;98_4;99_4,animal.6,1011.7646109653742,4.231136634390002
32,90_15360;96_2184;97_2643;98_3276;99_4358,animal.6,1011.7585595413883,2.137990060794377
33,90_10;96_1164;97_72056;98_96810;99_146183,animal.6,1010.7563632518483,3.358194003105547
34,90_80;96_1834;97_2203;98_2702;99_3525,animal.6,1009.513300386941,2.212112249703263
35,90_18;96_1251;97_1484;98_1809;99_2317,animal.6,1008.8452609870004,2.299720058557404
36,90_347;96_5014;97_6068;98_7588;99_14839,animal.6,1008.4358112192933,2.301670774438581
37,90_178;96_1517;97_1809;98_2213;99_2859,animal.6,1008.1392826186456,2.28806199779584
38,90_2;96_1127;97_1323;98_1599;99_5112,animal.6,1008.0517447213529,1.7378595037198916
39,90_8991;96_38979;97_49648;98_65291;99_95122,animal.6,1007.8450773428368,1.4467216271363408
40,90_20;96_774;97_902;98_1058;99_1339,animal.6,1007.7161673834279,2.315800923320462
41,90_18;96_30;97_31;98_34;99_277,animal.6,1007.599667405342,2.96343548384956
42,90_559;96_2960;97_3641;98_4607;99_6212,animal.6,1007.3849393899984,1.9013501355018874
43,90_210;96_728;97_851;98_992;99_1256,animal.6,1007.2889248300959,1.7808112063144634
44,90_18;96_273;97_301;98_335;99_403,animal.6,1006.9655048590782,2.826713404430536
45,90_15775;96_1498;97_1787;98_2184;99_2816,animal.6,1006.9637644191308,1.3891404654226438
46,90_350;96_1502;97_6782;98_8412;99_11263,animal.6,1006.6184103224437,2.0041721521744678
47,90_45;96_1683;97_2016;98_2478;99_3236,animal.6,1006.3300405238318,1.7408562956208744
48,90_303;96_5629;97_6780;98_8410;99_11261,animal.6,1006.1964968099796,1.9041849939404452
49,90_295;96_3484;97_4271;98_5467;99_7460,animal.6,1005.670870141821,1.6329856703894023
50,90_10;96_44917;97_57558;98_76302;99_112575,animal.6,1005.3954577352972,1.342717207352051
51,90_80;96_246;97_25280;98_32056;99_44168,animal.6,1005.3783245215598,1.77382358831063
52,90_15355;96_42;97_98;98_107;99_1797,animal.6,1005.3351202989342,1.8513494434534339
53,90_1;96_1;97_1;98_8162;99_55752,animal.6,1005.023272466182,2.5148108737862445
54,90_15773;96_5682;97_6842;98_8480;99_11346,animal.6,1004.9724857673226,1.094689573396196
55,90_15360;96_410;97_598;98_687;99_868,animal.6,1004.9633981964696,1.2494076247179484
56,90_15971;96_831;97_970;98_1141;99_1443,animal.6,1004.9191627836241,1.8225885695628115
57,90_3;96_3;97_3;98_3;99_3,animal.6,1004.8554265471034,2.336596838858611
58,90_10680;96_46531;97_59729;98_79342;99_117507,animal.6,1004.793998396136,2.399507203144239
59,90_13;96_938;97_1091;98_1301;99_1645,animal.6,1004.7062780307317,1.6991124378987235
60,90_459;96_2170;97_2626;98_3256;99_4327,animal.6,1004.6777542224346,1.1312538033683783
61,90_310;96_1659;97_1986;98_2442;99_4310,animal.6,1004.6593971989491,3.048862169735891
62,90_80;96_33750;97_42794;98_55897;99_80268,animal.6,1004.648073487684,1.6035704784988574
63,90_80;96_51703;97_66616;98_89031;99_133188,animal.6,1004.5802607028211,1.7460409226552414
64,90_46;96_486;97_555;98_638;99_799,animal.6,1004.5795044009917,1.8322096336225502
65,90_10203;96_44327;97_56774;98_75231;99_110857,animal.6,1004.5784481768908,1.4521188953636637
66,90_44;96_30619;97_38716;98_50300;99_71755,animal.6,1004.5630926885757,1.5167016146640369
67,90_172;96_3849;97_6223;98_8139;99_10930,animal.6,1004.5296143043613,1.456133956677382
68,90_17;96_26;97_27;98_30;99_31,animal.6,1004.4866882429941,3.2010584203458508
69,90_4;96_49593;97_63846;98_85129;99_126901,animal.6,1004.2022156704741,1.6650940875910754
70,90_7;96_9;97_9;98_11;99_12,animal.6,1004.2005765488574,2.004712800085472
71,90_2391;96_10491;97_12681;98_15596;99_20639,animal.6,1004.1849038820353,1.0464978225899684
72,90_178;96_10414;97_12587;98_15495;99_20497,animal.6,1003.9145839722822,0.988186367672891
73,90_108;96_37364;97_47508;98_62282;99_90284,animal.6,1003.9133190238495,1.2377218937449797
74,90_4;96_456;97_522;98_600;99_751,animal.6,1003.889267054754,1.9056596398501475
75,90_15355;96_3957;97_4868;98_27720;99_37702,animal.6,1003.6618678946235,1.1589702660435373
76,90_156;96_658;97_4712;98_6058;99_11427,animal.6,1003.6374156520008,1.822909807730456
77,90_3;96_3;97_3;98_6476;99_8858,animal.6,1003.5532368893114,1.9837695924680645
78,90_3;96_45863;97_58855;98_78157;99_115619,animal.6,1003.5511283568887,1.4440683039131996
79,90_13;96_15620;97_19133;98_23871;99_32172,animal.6,1003.4844549585533,1.469127139368653
80,90_217;96_3892;97_4790;98_6145;99_8414,animal.6,1003.4549314653032,1.1016324710007854
81,90_10;96_1164;97_1368;98_1659;99_2125,animal.6,1003.4417530695574,2.809333471067478
82,90_314;96_1263;97_1498;98_1824;99_2337,animal.6,1003.41859386324,1.1524390956885286
83,90_224;96_819;97_953;98_3573;99_4768,animal.6,1003.4019452978936,2.0234660666937256
84,90_8102;96_35293;97_44801;98_58619;99_84543,animal.6,1003.3183406143019,2.3850591181298397
85,90_18;96_298;97_330;98_371;99_446,animal.6,1003.2927236124608,1.2550171833785024
86,90_18;96_125;97_133;98_150;99_171,animal.6,1003.1336984182173,2.1855603063555678
87,90_15355;96_42;97_98;98_107;99_119,animal.6,1003.094660959702,2.0587628679245356
88,90_44;96_260;97_284;98_317;99_379,animal.6,1003.0134473769992,1.641203726882959
89,90_4;96_7276;97_8724;98_10694;99_14158,animal.6,1002.8914517912108,1.8844215653861927
90,90_4;96_4;97_4;98_523;99_646,animal.6,1002.882159239245,1.5713255528401038
91,90_10;96_322;97_358;98_897;99_1494,animal.6,1002.8424650136515,1.2202444726826112
92,90_195;96_16591;97_20361;98_25467;99_34490,animal.6,1002.803405337664,0.8442300343103868
93,90_108;96_3061;97_3759;98_13443;99_17809,animal.6,1002.7831148644784,1.252428151512395
94,90_18;96_17831;97_21977;98_27590;99_37514,animal.6,1002.7744196392165,1.575283257207354
95,90_4;96_507;97_583;98_670;99_844,animal.6,1002.7185438843895,1.6641284141383825
96,90_140;96_4058;97_4979;98_6360;99_8707,animal.6,1002.6693567326447,1.7050740279959187
97,90_10;96_917;97_1068;98_1277;99_1619,animal.6,1002.6389535340587,1.5736417090413697
98,90_295;96_1148;97_1348;98_1632;99_2089,animal.6,1002.6295133446393,1.2802775672270255
99,90_1;96_431;97_492;98_563;99_701,animal.6,1002.5437662889665,2.7587365649262203
100,90_224;96_819;97_953;98_1120;99_2660,animal.6,1002.5246463125978,1.8425644638831202
101,90_80;96_193;97_1308;98_3777;99_7380,animal.6,1002.5038755776892,0.7630313090455726
102,90_4;96_4;97_4;98_523;99_6033,animal.6,1002.3600526851639,1.4738415795477569
103,90_10;96_322;97_358;98_405;99_492,animal.6,1002.2673738834706,1.7548601283748642
104,90_16;96_4864;97_5892;98_7381;99_9943,animal.6,1002.2271978283338,0.6978756653660071
105,90_15858;96_10440;97_12622;98_15536;99_20567,animal.6,1002.2150749529211,0.5443602063987746
106,90_1130;96_5031;97_6083;98_7603;99_10214,animal.6,1002.2119193038559,0.7730334573266637
107,90_12;96_3772;97_4647;98_5968;99_8203,animal.6,1002.1472997701125,2.0927141686039357
108,90_497;96_2416;97_2942;98_3676;99_4910,animal.6,1002.069340915666,0.6984672306498931
109,90_46;96_146;97_157;98_801;99_1025,animal.6,1002.042591320684,0.7503408063733589
110,90_16843;96_548;97_633;98_731;99_928,animal.6,1001.9713689906811,1.438281025385398
111,90_10;96_1764;97_2112;98_2592;99_3384,animal.6,1001.9188313699179,0.5966560056033717
112,90_15851;96_508;97_586;98_673;99_847,animal.6,1001.91733110791,0.9672897754680103
113,90_172;96_67747;97_88042;98_119694;99_183869,animal.6,1001.8480362977667,1.2836888778260376
114,90_45;96_369;97_416;98_475;99_581,animal.6,1001.7972201947407,1.0122443284760196
115,90_15820;96_234;97_256;98_5665;99_7744,animal.6,1001.7946061578276,1.1411893730145073
116,90_16509;96_664;97_768;98_889;99_1135,animal.6,1001.7850188184373,1.4265731828820343
117,90_4;96_7276;97_8724;98_10694;99_14089,animal.6,1001.7450020060637,1.3538941516232241
118,90_9;96_424;97_1160;98_1384;99_1750,animal.6,1001.7374576886897,1.4159924678554712
119,90_15862;96_3487;97_4274;98_5471;99_7466,animal.6,1001.7213440275613,1.436448765162782
120,90_44;96_87;97_92;98_101;99_112,animal.6,1001.6026357284433,1.5486049846070202
121,90_80;96_246;97_25280;98_71567;99_105144,animal.6,1001.5809271931311,1.5341114864074448
122,90_80;96_246;97_25280;98_67877;99_99212,animal.6,1001.5585731741446,1.706798087759147
123,90_27;96_597;97_699;98_814;99_25036,animal.6,1001.5105637967247,0.6367242065598765
124,90_140;96_874;97_1022;98_1205;99_1526,animal.6,1001.5029178512108,1.0682112403383661
125,90_10;96_322;97_358;98_897;99_1144,animal.6,1001.5016928405114,0.7350494849230129
126,90_16577;96_3383;97_4154;98_5315;99_7243,animal.6,1001.4957476247084,0.6358655220113213
127,90_7986;96_34783;97_44134;98_57714;99_83111,animal.6,1001.4613325512036,0.5412313960734115
128,90_16228;96_4035;97_4955;98_6335;99_8677,animal.6,1001.4572206423419,1.1079522980943943
129,90_18;96_30;97_1251;98_1502;99_6433,animal.6,1001.4460861169157,1.3725080578366267
130,90_10;96_223;97_375;98_431;99_531,animal.6,1001.4105471910386,0.5882269154239136
131,90_523;96_4968;97_6013;98_7528;99_10129,animal.6,1001.4085882205468,0.8522449113585384
132,90_3;96_67194;97_87284;98_118631;99_182024,animal.6,1001.4048954072316,0.8731560399189162
133,90_22;96_35;97_36;98_5042;99_6848,animal.6,1001.3925472961466,0.6124896438461886
134,90_3;96_1422;97_1698;98_2071;99_2673,animal.6,1001.3918964732588,0.5813298471228485
135,90_3;96_136;97_147;98_164;99_514,animal.6,1001.3880157692759,0.8372501654926042
136,90_387;96_1709;97_2046;98_2513;99_8511,animal.6,1001.384883757361,1.0880665770821583
137,90_44;96_2236;97_2931;98_3665;99_4897,animal.6,1001.3563923596358,1.536291206660778
138,90_13;96_19;97_20;98_23;99_24,animal.6,1001.3459500328231,2.614970055475344
139,90_10;96_1164;97_1368;98_86485;99_129145,animal.6,1001.3441668765349,1.774444272245226
140,90_113;96_407;97_32204;98_41281;99_57948,animal.6,1001.3272680808426,0.5422795695524104
141,90_15364;96_6599;97_7909;98_9716;99_12862,animal.6,1001.3185342332542,0.3887323077359379
142,90_15355;96_42;97_4128;98_5281;99_7185,animal.6,1001.2913130560415,1.245244096940983
