rank_by_mean,player_id,biome,mean_rating,sd_rating
1,90_23;96_224;97_245;98_274;99_321,plant.4,1081.4873967862163,0.3584143760545651
2,90_17;96_26;97_27;98_2015;99_2601,plant.4,1069.0869591592673,0.308335716192788
3,90_17;96_73;97_76;98_83;99_92,plant.4,1067.5413430483602,0.4968185927574603
4,90_17;96_73;97_76;98_333;99_399,plant.4,1047.8255327415418,0.16230790624069125
5,90_17;96_63837;97_82805;98_112223;99_171273,plant.4,1044.0646438560725,0.16620071713034906
6,90_23;96_49853;97_64188;98_85601;99_127671,plant.4,1039.5301774933148,0.39154826650332014
7,90_15358;96_3636;97_4468;98_5733;99_7848,plant.4,1038.8636834337535,0.23955195282360864
8,90_18592;96_75603;97_100597;98_135590;99_205524,plant.4,1028.4399374919435,0.1363990388987116
9,90_20;96_774;97_902;98_1058;99_1339,plant.4,1021.6053766853003,0.051735181865479596
10,90_9;96_387;97_436;98_498;99_614,plant.4,1020.5804792679464,0.1118979648999629
11,90_9;96_3136;97_3840;98_4877;99_6615,plant.4,1018.3203545060542,0.14800060271991375
12,90_20;96_868;97_1016;98_1199;99_1517,plant.4,1018.3027706510443,0.09527262240109748
13,90_9;96_446;97_510;98_586;99_730,plant.4,1017.9652444909182,0.1659922141513142
14,90_9;96_895;97_22985;98_28979;99_39631,plant.4,1016.3399110663963,0.047817477887590325
15,90_15368;96_262;97_289;98_1400;99_3031,plant.4,1013.7187269317998,0.1179984457931258
16,90_20;96_868;97_1312;98_2527;99_3295,plant.4,1012.5343667705056,0.1603058132684
17,90_185;96_5998;97_7215;98_8906;99_11859,plant.4,1012.0367887883197,0.006951271069126523
18,90_15366;96_218;97_237;98_2791;99_7402,plant.4,1012.0299272650975,0.0733645546029576
19,90_6;96_7;97_502;98_2247;99_7280,plant.4,1011.8747815349018,0.13316334619550016
20,90_9;96_254;97_277;98_309;99_366,plant.4,1011.2279283524937,0.04801307075913882
21,90_235;96_12642;97_15340;98_19002;99_25278,plant.4,1010.5329931828104,0.029227076228295863
22,90_1;96_491;97_560;98_1048;99_1323,plant.4,1010.3064934681996,0.035881229799135154
23,90_6;96_7;97_651;98_760;99_974,plant.4,1010.2349968575728,0.04587515754231751
24,90_21;96_816;97_950;98_1117;99_1411,plant.4,1009.867181651091,0.006970968682274198
25,90_21258;96_73596;97_95402;98_129389;99_205039,plant.4,1009.7116318520664,0.08920045768296697
26,90_9;96_216;97_235;98_264;99_311,plant.4,1009.3947812616175,0.021933221355711397
27,90_18592;96_74741;97_96742;98_130923;99_199669,plant.4,1009.132104213304,0.0831741092153127
28,90_16228;96_4035;97_4955;98_6335;99_8677,plant.4,1008.9649799667374,0.11421470546129238
29,90_17;96_26;97_27;98_2015;99_153458,plant.4,1008.6333335302509,0.018674735404046048
30,90_15366;96_218;97_237;98_2791;99_3649,plant.4,1008.1570762547032,0.05824128518031363
31,90_15368;96_177;97_192;98_215;99_253,plant.4,1008.1567897265803,0.06222440444058973
32,90_130;96_390;97_439;98_501;99_656,plant.4,1008.1378955342303,0.037243009539171174
33,90_5;96_220;97_239;98_268;99_315,plant.4,1008.0106877052265,0.004700022254364053
34,90_1143;96_18313;97_56492;98_74823;99_110223,plant.4,1007.9911376333633,0.003652426567766865
35,90_6844;96_36498;97_46385;98_60768;99_87951,plant.4,1007.5750990688767,0.007915218210827432
36,90_94;96_3004;97_3691;98_4676;99_6314,plant.4,1007.4702493814641,0.003953680226592115
37,90_146;96_15072;97_18410;98_22925;99_48368,plant.4,1007.4144523590528,0.0037723162449090934
38,90_23;96_61;97_89;98_642;99_953,plant.4,1007.2644919919859,0.010467917808670684
39,90_17850;96_69182;97_89870;98_122195;99_188475,plant.4,1006.964404721002,0.007365945002948509
40,90_9;96_133;97_144;98_161;99_187,plant.4,1006.9296142665206,0.027559333668010822
41,90_15366;96_1968;97_2365;98_36636;99_51008,plant.4,1006.8289248726229,0.01990071136442942
42,90_80;96_1834;97_2203;98_2702;99_3525,plant.4,1006.4918057557603,0.060776494953473155
43,90_15360;96_10971;97_63224;98_84231;99_125450,plant.4,1006.3856668637345,0.004299484586686426
44,90_17324;96_14969;97_18278;98_22754;99_30581,plant.4,1006.1942872860023,0.005153251475959717
45,90_13;96_12252;97_14862;98_18388;99_24449,plant.4,1006.1487715651174,0.007197027186279285
46,90_20;96_774;97_1511;98_1839;99_2359,plant.4,1005.9886272093793,0.007974528112664794
47,90_746;96_5008;97_6063;98_7583;99_10190,plant.4,1005.9873737373811,0.006583140734557999
48,90_483;96_2330;97_2833;98_3519;99_4693,plant.4,1005.9812017340957,0.005763889900804476
49,90_20;96_1278;97_1518;98_1848;99_2373,plant.4,1005.907415433515,0.021912826307541596
50,90_5;96_84;97_6991;98_8648;99_11544,plant.4,1005.8736111815897,0.012963995664993672
51,90_5;96_1582;97_1888;98_2318;99_3009,plant.4,1005.6367912020265,0.017939275709018137
52,90_103;96_7194;97_8632;98_14812;99_19619,plant.4,1005.4757755342447,0.005092316948836405
53,90_16228;96_4035;97_4955;98_6335;99_104571,plant.4,1005.4702562786085,0.01669449941072741
54,90_289;96_1138;97_1335;98_1618;99_2068,plant.4,1005.4521216643889,0.0018445767859044085
55,90_73;96_26090;97_32735;98_42003;99_59056,plant.4,1005.4134010426299,0.0020795880768931492
56,90_1;96_61571;97_79763;98_107856;99_164090,plant.4,1005.2871528857804,0.00037041446306559656
57,90_15797;96_907;97_1057;98_1263;99_1599,plant.4,1005.2696915814878,0.004929508846503399
58,90_17;96_856;97_2573;98_4430;99_5966,plant.4,1005.2675023516686,0.00396131640585326
59,90_115;96_8266;97_9947;98_12229;99_61020,plant.4,1005.1823690123713,0.049035728317276955
60,90_15368;96_177;97_192;98_215;99_4796,plant.4,1005.1713754762498,0.05024737487972117
