rank,player_id,n_games,rating,run,biome
1,90_1011;96_8754;97_21018;98_26320;99_35682,919,1132.4042537696455,1,peatland.1
2,90_12;96_74;97_77;98_84;99_93,930,1089.7505725873477,1,peatland.1
3,90_382;96_5528;97_6669;98_96770;99_146122,673,1069.7563695273652,1,peatland.1
4,90_29;96_13888;97_16922;98_21020;99_28101,660,1044.1277049295925,1,peatland.1
5,90_1244;96_5465;97_20088;98_25095;99_33918,737,1035.6765333449234,1,peatland.1
6,90_73;96_4112;97_5037;98_78850;99_116733,752,1027.5983428519157,1,peatland.1
7,90_1585;96_6737;97_8062;98_9891;99_13071,723,1008.9365200212115,1,peatland.1
8,90_185;96_23002;97_28770;98_36682;99_51083,577,989.9126904210932,1,peatland.1
9,90_1007;96_41941;97_53608;98_70840;99_103972,709,981.5011671824639,1,peatland.1
10,90_185;96_36787;97_68556;98_91829;99_137872,541,974.2144114527762,1,peatland.1
11,90_1011;96_8754;97_20090;98_25097;99_33920,465,972.268305662789,1,peatland.1
12,90_7270;96_31919;97_40402;98_52633;99_75264,596,962.9481298230602,1,peatland.1
13,90_545;96_24248;97_71445;98_95914;99_144578,549,961.0983884402158,1,peatland.1
14,90_1007;96_41941;97_53609;98_70841;99_103973,531,958.5649165679889,1,peatland.1
15,90_215;96_36036;97_45777;98_59924;99_86593,581,958.0259305072117,1,peatland.1
16,90_634;96_15504;97_18978;98_23676;99_60021,529,950.5460790552864,1,peatland.1
17,90_351;96_55584;97_71733;98_96358;99_145393,430,946.5667443443974,1,peatland.1
18,90_885;96_27865;97_35087;98_45299;99_64033,473,945.8771215283086,1,peatland.1
19,90_16388;96_10723;97_12964;98_15952;99_21145,549,943.6691908199213,1,peatland.1
20,90_1596;96_36746;97_88506;98_120386;99_185003,329,941.1949302215418,1,peatland.1
21,90_1007;96_42064;97_53779;98_71060;99_104328,397,936.7227908601213,1,peatland.1
22,90_545;96_11342;97_17250;98_21431;99_28680,526,935.6417317078381,1,peatland.1
23,90_690;96_14021;97_77055;98_104001;99_157824,461,930.1814870815417,1,peatland.1
24,90_2496;96_10982;97_13304;98_16371;99_21697,517,927.5674835208767,1,peatland.1
25,90_418;96_61914;97_80223;98_108567;99_165311,391,927.0250101331601,1,peatland.1
26,90_1950;96_19721;97_24477;98_30973;99_42629,399,923.6537228954816,1,peatland.1
27,90_1641;96_6948;97_8337;98_10248;99_13567,352,923.6449979971335,1,peatland.1
28,90_6225;96_31400;97_39709;98_94200;99_141774,391,921.2518418188973,1,peatland.1
29,90_1268;96_5533;97_6674;98_8282;99_11102,305,920.7654997531862,1,peatland.1
30,90_1244;96_24875;97_31155;98_39882;99_55864,390,917.3320140324595,1,peatland.1
31,90_1011;96_8754;97_21018;98_26323;99_35685,380,917.1452490543962,1,peatland.1
